gene,gene_category
WDR36,common essential
WDR4,common essential
WDR43,common essential
WDR46,common essential
WDR5,common essential
WDR55,common essential
WDR70,common essential
WDR74,common essential
WDR75,common essential
WDR77,common essential
WDR82,common essential
WDR92,common essential
WEE1,common essential
WNK1,common essential
WRB,common essential
XAB2,common essential
XPO1,common essential
XPO5,common essential
XRCC2,common essential
XRCC3,common essential
XRCC6,common essential
XRN1,common essential
XRN2,common essential
YARS,common essential
YARS2,common essential
YEATS2,common essential
YEATS4,common essential
YKT6,common essential
YRDC,common essential
YTHDC1,common essential
YY1,common essential
ZBTB11,common essential
ZBTB17,common essential
ZBTB8OS,common essential
ZC3H18,common essential
ZC3H8,common essential
ZCCHC9,common essential
ZCRB1,common essential
ZFC3H1,common essential
ZMAT2,common essential
ZMAT5,common essential
ZNF131,common essential
ZNF143,common essential
ZNF207,common essential
ZNF335,common essential
ZNF407,common essential
ZNF574,common essential
ZNF622,common essential
ZNHIT6,common essential
ZZZ3,common essential
RPS27,common essential
ABCG8,common nonessential
ACCSL,common nonessential
ACTL7A,common nonessential
ACTL7B,common nonessential
ACTL9,common nonessential
ADAD1,common nonessential
ADAM18,common nonessential
ADAM2,common nonessential
ADAM20,common nonessential
ADAM30,common nonessential
ADH7,common nonessential
AFM,common nonessential
AICDA,common nonessential
AIPL1,common nonessential
ALPI,common nonessential
ALX3,common nonessential
ANKRD30A,common nonessential
ANTXRL,common nonessential
APOA4,common nonessential
APOBEC1,common nonessential
APOF,common nonessential
AQP8,common nonessential
ARGFX,common nonessential
ART1,common nonessential
ASB17,common nonessential
ASIC5,common nonessential
ASZ1,common nonessential
ATOH1,common nonessential
ATP4B,common nonessential
ATP6V1G3,common nonessential
B3GNT6,common nonessential
BANF2,common nonessential
BARHL1,common nonessential
BIRC8,common nonessential
BMP10,common nonessential
BPIFA1,common nonessential
BPIFA3,common nonessential
BPIFB3,common nonessential
BPIFB6,common nonessential
BPIFC,common nonessential
BRDT,common nonessential
BSND,common nonessential
C10orf113,common nonessential
C10orf120,common nonessential
C10orf53,common nonessential
C11orf40,common nonessential
C12orf40,common nonessential
C16orf78,common nonessential
C17orf78,common nonessential
C1orf146,common nonessential
C20orf173,common nonessential
C3orf30,common nonessential
C6orf10,common nonessential
C8A,common nonessential
C8B,common nonessential
C8orf86,common nonessential
CABP2,common nonessential
CABP5,common nonessential
CABS1,common nonessential
CACNG2,common nonessential
CACNG3,common nonessential
CACNG5,common nonessential
CATSPER4,common nonessential
CCDC155,common nonessential
CCDC172,common nonessential
CCDC83,common nonessential
CCKAR,common nonessential
CCL1,common nonessential
CCT8L2,common nonessential
CD200R1L,common nonessential
CDCP2,common nonessential
CDX2,common nonessential
CEACAM7,common nonessential
CELA2A,common nonessential
CELA3A,common nonessential
CELA3B,common nonessential
CER1,common nonessential
CETN1,common nonessential
CFHR2,common nonessential
CFHR5,common nonessential
CHAT,common nonessential
CHRNA6,common nonessential
CHRNB3,common nonessential
CLCA1,common nonessential
CLDN17,common nonessential
CLEC2A,common nonessential
CLEC3A,common nonessential
CLEC6A,common nonessential
CLRN1,common nonessential
CNBD1,common nonessential
CNGB3,common nonessential
CNPY1,common nonessential
CNTNAP5,common nonessential
COL20A1,common nonessential
COX7B2,common nonessential
CRNN,common nonessential
CRX,common nonessential
CRYGB,common nonessential
CSH1,common nonessential
CSHL1,common nonessential
CSN2,common nonessential
CSN3,common nonessential
CST11,common nonessential
CST4,common nonessential
CST5,common nonessential
CST8,common nonessential
CST9,common nonessential
CST9L,common nonessential
CSTL1,common nonessential
CTCFL,common nonessential
CTRB1,common nonessential
CYLC2,common nonessential
CYP11B1,common nonessential
CYP11B2,common nonessential
CYP26C1,common nonessential
CYP2A13,common nonessential
CYP2C19,common nonessential
CYP4A22,common nonessential
CYP7A1,common nonessential
DAZL,common nonessential
DCAF4L2,common nonessential
DDI1,common nonessential
DDX4,common nonessential
DEFA5,common nonessential
DEFA6,common nonessential
DEFB103B,common nonessential
DEFB104A,common nonessential
DEFB106A,common nonessential
DEFB118,common nonessential
DEFB123,common nonessential
DEFB126,common nonessential
DEFB127,common nonessential
DEFB129,common nonessential
DIRC1,common nonessential
DMP1,common nonessential
DMRT1,common nonessential
DMRTB1,common nonessential
DMRTC2,common nonessential
DPRX,common nonessential
DRD3,common nonessential
DRGX,common nonessential
DSG4,common nonessential
DSPP,common nonessential
DTX2,common nonessential
DUXA,common nonessential
EFCAB3,common nonessential
EGR4,common nonessential
ENTHD1,common nonessential
EVX1,common nonessential
F13B,common nonessential
FABP2,common nonessential
FAM71A,common nonessential
FAM71B,common nonessential
FAM71C,common nonessential
FCRL4,common nonessential
FEZF1,common nonessential
FEZF2,common nonessential
FFAR1,common nonessential
FGF3,common nonessential
FGF4,common nonessential
FGF6,common nonessential
FIGLA,common nonessential
FLG2,common nonessential
FNDC7,common nonessential
FNDC9,common nonessential
FOXB1,common nonessential
FOXB2,common nonessential
